area,test_name,category,angular_behavior,react_behavior,priority
Global / head,document title is AdminDashboard (login),missing content,Document title in `src/index.html` is "AdminDashboard".,Vite `web-react/index.html` uses "Admin Dashboard (React)".,2
Global / head,login page: favicon link present in head,visual difference,`src/index.html` includes favicon to `favicon.ico` at repo root.,React `index.html` has no favicon `link` element.,2
Login,login: submit button is never disabled while idle,behavior difference,The login form submit has no `disabled` binding; it stays enabled during the credential request.,`LoginPage` uses `disabled={formState.isSubmitting}` on the submit `Button`.,1
Login,login: failed login error is not a live region (no role=alert),form UX difference,The invalid-credentials message is a plain `.error-message` with no ARIA live region.,The same message is rendered with `role="alert"` for assistive technology.,3
Error / 401,unauthorized: outer wrapper is .container, not .error-page-container,visual difference,`UnauthorizedComponent` is wrapped in an outer `div` with `class="container"` (full-height grid).,The React page is wrapped in `.error-page-container` from `error.css`.,3
Error / 404,not-found: outer wrapper is .container, not .error-page-container,visual difference,`NotFoundComponent` uses the same `container` shell as the other standalone error pages.,`NotFoundPage` is wrapped in `.error-page-container`.,3
Error / 403,forbidden: outer error shell is .container, not .error-page-container,visual difference,`ForbiddenComponent` uses the `container` + `forbidden-container` structure.,`ForbiddenPage` nests content inside `.error-page-container` for layout.,3
Error / 403,forbidden: Logout is a p-button with routerLink to /login (navigate on click),navigation difference,The 403 primary action is a `p-button` with `routerLink="/login"` (and logout on click).,The 403 action is a `Button` with `onClick` to `logout` + `navigate("/login")` (no `routerLink` on that control).,2
Global / data tables,payment orders: row open-details control has no aria-label (icon only),data display difference,The row action is a `p-button` with only the external-link icon (no `aria-label`).,PrimeReact `Button` for open adds `aria-label` including the payment reference (e.g. "View PAY123456").,3
Users,users: edit/delete action buttons have no aria-labels,data display difference,Icon-only `p-button` row actions in the user table have no `aria-label` attributes.,`Button` for edit/delete uses `aria-label` values that include the user email address.,3
Payment order details,payment order details: back control is a link with an icon, no added accessible name,form UX difference,The back action is a `routerLink` with an icon; there is no `aria-label` on the link.,The back `Link` sets `aria-label="Back"`.,3
Sidebar,sidebar: Home is the only nav link with aria-current when on Home,navigation difference,`routerLinkActive` + `ariaCurrentWhenActive="page"` so only the active route’s nav link is `aria-current`.,`NavLink` for Home is given a static `aria-current="page"` in JSX (always "page" on that link).,2
Sidebar,sidebar: on Orders route, Home link is not marked current,navigation difference,On `/payment-orders`, the Home link does not carry `aria-current` when it is not active.,The Home `NavLink` still has `aria-current="page"` when viewing Orders (misleading for AT users).,2
Sidebar,sidebar: Dashboard brand area is not role=button,form UX difference,The brand row is a `div` with `routerLink` to home (not exposed as a button).,The brand is an interactive `div` with `role="button"` and `tabIndex={0}` (keyboard-focusable "button" region).,3
App shell,layout: main content region uses .content (not .app-content),visual difference,`app.component` uses a scrollable `div` with class `content` for the `router-outlet`.,`App` uses `div.app-content` for the same column.,3
Global / head,document title is Admin Dashboard (React) on login,missing content,Browser tab text remains "AdminDashboard" from Angular’s `index.html`.,Vite `index.html` title is "Admin Dashboard (React)".,2
Login,login: submit button disabled while a submission is in flight,behavior difference,The submit `Button` remains enabled for the full login request (per Angular template).,Submit becomes `disabled` while the login `Promise` is in flight (`isSubmitting`).,1
Error / 403,forbidden: page Logout is a real button, not a link (sidebar also has Logout),navigation difference,The 403 view uses a PrimeNG `p-button` with `routerLink` to `/login`.,The 403 view uses a PrimeReact `Button` with click navigation (and the sidebar is a second Logout/Login).,2
Global / head,login page: no favicon link in head (angular sets favicon),visual difference,Angular `index.html` includes `<link rel="icon"… href="favicon.ico">`.,React `index.html` has no `link[rel=icon]`.,2
Error / 401,unauthorized: error shell uses .error-page-container,visual difference,401 uses the Angular `container` outer wrapper (no `error-page-container` class on the outer node).,401 uses the React shared `error-page-container` full-page centring.,3
Error / 404,not-found: error shell uses .error-page-container,visual difference,404 uses the `container` outer shell.,404 uses `error-page-container` for the same message block.,3
Error / 403,forbidden: error shell uses .error-page-container,visual difference,403 uses the `container` + inner `forbidden-container` without `error-page-container` on the root.,403 content is wrapped in `error-page-container`.,3
Global / data tables,payment orders: row open-details control has View + reference aria-label,data display difference,Open-details is icon-only (no accessible name) in the Angular table.,Open-details is exposed with `aria-label` including the order reference (e.g. "View …").,3
Users,users: edit and delete have explicit aria-labels with email,data display difference,User row actions are icon buttons without `aria-label` in Angular.,Edit/delete buttons include email in `aria-label` text in React.,3
Payment order details,payment order details: back control has Back aria-label,form UX difference,Back control has no `aria-label` in Angular (icon-only).,Back control has `aria-label="Back"` in React.,3
Sidebar,sidebar: Dashboard brand is focusable (role=button) for keyboard users,form UX difference,Brand is not `role=button` and is not a separate tab stop as a "button".,Brand is `role="button"` and `tabIndex={0}` for direct keyboard access.,3
App shell,layout: main content region uses .app-content (not .content under app-shell),visual difference,Main column is `.content` in `app.component`.,Main column is `.app-content` in `App`.,3
Login,login: failed login error is marked role=alert,form UX difference,The Angular error `div` has no `role` (not a live region by default in the template).,The same copy is in a `div` with `role="alert"` in React.,3
